Cislo,Lokalita,Doplnky,Status,Vykon,Rozpocet,Celkova_cena_bez_DPH,Zdroj,Prvni_poptavka,Odeslana_nabidka,Odeslani_zadosti,Uzavreni_smlouvy_o_dilo,Datum_prvni_zalohy,Prvni_zaloha,Datum_prvni_uhrady,Zahajeni_stavby,Ukonceni_stavby,Datum_druhe_zalohy,Druha_zaloha,Datum_druhe_uhrady,Datum_revize,Zadost_o_PPP,PPP,Datum_predani,Datum_treti_zalohy,Treti_zaloha,Datum_treti_uhrady,Podani_zadosti_o_dotaci
53,Šenov u Ostravy,"ET,LM",Ukonceno,5.4,287000.00,344931.00,Interni,29/11/2021,10/12/2021,31/05/2022,17/12/2021,17/12/2021, 224987.00 ,23/12/2021,17/01/2022,,24/03/2022, 159684.00 ,04/04/2022,04/04/2022,02/06/2022,22.07.2022,,26/07/2022, 12000.00 ,27/07/2022,10/08/2022
54,Ruda nad Moravou,,Nerealizovano,5.4,260000.00,317790.00,Interni,06/12/2021,10/12/2021,,,, 219275.10 ,,,,, 109637.55 ,,,,,,, 36545.85 ,,
55,Uherské Hradiště,,Nerealizovano,5.4,260000.00,317790.00,Interni,07/12/2021,10/12/2021,,,, 219275.10 ,,,,, 109637.55 ,,,,,,, 36545.85 ,,
56,Vlčnov,,Nerealizovano,4.5,263000.00,328060.00,Interni,01/11/2021,01/11/2021,,16/12/2021,, 226361.40 ,,,,, 113180.70 ,,,,,,, 37726.90 ,,
57,,,Nerealizovano,,,,Interni,01/10/2021,,,,, - ,,,,, - ,,,,,,, - ,,
58,Ostrava,,Ukonceno,6.1,270000.00,346080.00,Interni,06/12/2021,01/01/2020,30/06/2022,09/12/2021,09/12/2021, 298498.00 ,09/12/2021,15/12/2021,,24/03/2022, 59699.00 ,17/04/2022,18/03/2022,12/08/2022,11.10.2022,,11/10/2022, 39795.00 ,21/10/2022,31/10/2022
59,Kobylí,"JG,IK",Ukonceno,5.4,252560.00,326068.00,Interni,12/12/2021,13/12/2021,20/12/2021,16/12/2021,16/12/2021, 224986.92 ,07/01/2022,17/01/2022,03/02/2022,11/02/2022, 112493.46 ,24/02/2022,16/02/2022,06/05/2022,03.06.2022,03/06/2022,06/06/2022, 37497.82 ,15/06/2022,07/07/2022
60,,,Nerealizovano,5.4,260000.00,337668.00,Interni,12/12/2021,16/12/2021,,,, 232990.92 ,,,,, 116495.46 ,,,,,,, 38831.82 ,,
61,Vlčnov,"JH, DŠ",Odlozeno,5.4 kWh,260000.00,326068.00,Interni,13/12/2021,14/02/2022,,,, 224986.92 ,,,,, 112493.46 ,,,,,,, 37497.82 ,,
62,Luhačovice,LM,Ukonceno,8.3,326000.00,405422.00,Interni,22/12/2021,04/01/2022,10/02/2022,08/02/2022,10/02/2022, 286196.00 ,01/03/2022,14/03/2022,21/04/2022,20/04/2022, 140039.00 ,27/04/2022,26/04/2022,14/07/2022,20.09.2022,20/09/2022,20/09/2022, 40000.00 ,27/09/2022,12/10/2022
