Cislo,Lokalita,Doplnky,Status,Vykon,Rozpocet,Celkova_cena_bez_DPH,Zdroj,Prvni_poptavka,Odeslana_nabidka,Odeslani_zadosti,Uzavreni_smlouvy_o_dilo,Datum_prvni_zalohy,Prvni_zaloha,Datum_prvni_uhrady,Zahajeni_stavby,Ukonceni_stavby,Datum_druhe_zalohy,Druha_zaloha,Datum_druhe_uhrady,Datum_revize,Zadost_o_PPP,PPP,Datum_predani,Datum_treti_zalohy,Treti_zaloha,Datum_treti_uhrady,Podani_zadosti_o_dotaci
244,Břeclav,,Nerealizovano,,,,Externi,02/05/2022,11/05/2022,,,, - ,,,,, - ,,,,,,, - ,,
245,Svatobořice-Mistřín,,Nerealizovano,,,,Externi,28/04/2022,,,,, - ,,,,, - ,,,,,,, - ,,
246,Tvrdonice,ET,Nerealizovano,,,,Externi,,,,,, - ,,,,, - ,,,,,,, - ,,
247,Předboj,,Odlozeno,8.28,375985.00,473136.00,Interni,03/05/2022,11/05/2022,,,, 326463.84 ,,,,, 163231.92 ,,,,,,, 54410.64 ,,
248,Topolná,,Nerealizovano,,,,Externi,03/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
249,,,Nerealizovano,,,,Interni,03/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
250,,,Nerealizovano,,,,Externi,03/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
251,Hýsly,ET 10,R ,8.28,377868.00,462650.00,Interni,03/05/2022,25/07/2022,22/08/2022,,05/09/2022, 319229.00 ,07/09/2022,,,, 159614.25 ,,,mikrozdroj,,,, 53204.75 ,,
252,Kyjov,,Nerealizovano,,,,Externi,03/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
253,Povazská Bystrica,IK,Odlozeno,5.52,447404.00,378708.00,Externi,03/05/2022,11/05/2022,,,, 261308.52 ,,,,, 130654.26 ,,,,,,, 43551.42 ,,
254,Milotice,,Nerealizovano,,,,Externi,03/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
255,Ostrožská N. Ves,,Nerealizovano,9.66kWp,610200.00,511645.00,Externi,03/05/2022,13/05/2022,,,, 353035.05 ,,,,, 176517.53 ,,,,,,, 58839.18 ,,
256,Chmeliště,,Nerealizovano,,,,Externi,03/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
257,Dýšina u Plzně,,Nerealizovano,5.52,306540.00,383088.00,Externi,19/04/2022,06/06/2022,,,, 264330.72 ,,,,, 132165.36 ,,,,,,, 44055.12 ,,
258,Chlum-Korouhvice,IK,Odlozeno,,,,Externi,03/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
259,Vnorovy,,Nerealizovano,5.52,296550.00,372300.00,Externi,03/05/2022,23/05/2022,,,, 256887.00 ,,,,, 128443.50 ,,,,,,, 42814.50 ,,
260,Radějov,,Nerealizovano,5.52,444200.00,372300.00,Interni,03/05/2022,09/05/2022,,,, 256887.00 ,,,,, 128443.50 ,,,,,,, 42814.50 ,,
261,Prušánky,,Nerealizovano,8.28,488800.00,424230.00,Interni,03/05/2022,09/05/2022,,,, 292718.70 ,,,,, 146359.35 ,,,,,,, 48786.45 ,,
262,Brno,Ptáček,Pripojeni,7.6,316248.00,337550.00,Interni,01/05/2022,10/05/2022,,13/05/2022,20/05/2022, 232909.50 ,25/05/2022,,,29/08/2022, 116454.75 ,02/09/2022,23/08/2022,19/09/2022,29.11.2022,,, 38818.25 ,,
263,Uherský Brod,,Ukonceno,2.76, 47768.00 , 61398.00 ,Interni,10/04/2022,02/05/2022,,,13/05/2022, 42364.62 ,23/05/2022,25/05/2022,26/05/2022,, 21182.31 ,,27/05/2022,06/06/2022,08.08.2022,08/08/2022,, - ,,
264,Ratíškovice,"JH, DŠ",Odlozeno,,,,Interni,09/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
265,Křešín,WB,R ,8.28, 369750.00 , 466442.00 ,Interni,09/05/2022,11/05/2022,30/05/2022,16/05/2022,17/05/2022, 321844.98 ,10/06/2022,,,, 160922.49 ,,,,,,, 53640.83 ,,
266,Mikulov,,Odeslana_CN,6.44, 336309.00 , 423682.00 ,Interni,09/05/2022,12/05/2022,16/09/2022,,, 292340.58 ,,,,, 146170.29 ,,,,,,, 48723.43 ,,
267,Mikulov,,Nerealizovano,3.68, 192772.00 , 240569.00 ,Interni,09/05/2022,12/05/2022,,,, 165992.61 ,,,,, 82996.31 ,,,,,,, 27665.44 ,,
268,Prušánky,,Nerealizovano,9.2kWp,, 488820.00 ,Interni,09/05/2022,12/05/2022,,,, 337285.80 ,,,,, 168642.90 ,,,,,,, 56214.30 ,,
269,"Chorvatský Grob, SK","TČ, SK",Nerealizovano,9.66kWp, 276014.00 , 347783.00 ,Interni,10/05/2022,01/06/2022,,,, 239970.27 ,,,,, 119985.14 ,,,,,,, 39995.05 ,,
270,"Nitra, SK","TČ, SK",Odlozeno,7.36, 212524.00 , 274743.00 ,Interni,10/05/2022,03/06/2022,,,, 189572.67 ,,,,, 94786.34 ,,,,,,, 31595.45 ,,
271,Ladná,IK,Nerealizovano,7.36, 479100.00 , 411811.00 ,Interni,10/05/2022,13/05/2022,,,, 284149.59 ,,,,, 142074.80 ,,,,,,, 47358.27 ,,
272,Ladná,IK,Nerealizovano,8.28, 360305.00 , 455152.00 ,Interni,10/05/2022,25/05/2022,,,, 314054.88 ,,,,, 157027.44 ,,,,,,, 52342.48 ,,
273,Břeclav,,Odlozeno,6.44, 319864.00 , 403074.00 ,Interni,10/05/2022,03/06/2022,,,, 278121.06 ,,,,, 139060.53 ,,,,,,, 46353.51 ,,
274,Terezín,,Pripojeni,7.36, 307700.00 , 385870.00 ,Interni,10/05/2022,12/05/2022,06/06/2022,08/06/2022,15/07/2022, 266250.30 ,18/07/2022,,,22/09/2022, 133125.15 ,26/09/2022,26/09/2022,26/09/2022,,,, 44375.05 ,,
275,Brno,,Nerealizovano,,,,Interni,10/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
276,,,Nerealizovano,,,,Externi,04/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
277,Klimkovice,,Nerealizovano,9.66, 361300.00 , 446770.00 ,Externi,05/05/2022,06/06/2022,,,, 308271.30 ,,,,, 154135.65 ,,,,,,, 51378.55 ,,
278,Moravská Nová Ves,ET 10,Odlozeno,5.52, 296550.00 , 372300.00 ,Externi,10/05/2022,31/05/2022,,,, 256887.00 ,,,,, 128443.50 ,,,,,,, 42814.50 ,,
279,Smržice,IK,Odlozeno,3.68, 194180.00 , 243385.00 ,Interni,06/05/2022,13/05/2022,,,, 167935.65 ,,,,, 83967.83 ,,,,,,, 27989.28 ,,
280,Vlkoš,IK,Odlozeno,5.52, 444200.00 , 372300.00 ,Interni,10/05/2022,13/05/2022,,,, 256887.00 ,,,,, 128443.50 ,,,,,,, 42814.50 ,,
281,Brno - Židenice,,Nerealizovano,7.36, 479100.00 , 411870.00 ,Interni,10/05/2022,13/05/2022,,,, 284190.30 ,,,,, 142095.15 ,,,,,,, 47365.05 ,,
282,Rejštejn,IK,Storno_zakazky,5.06kWp, 304700.00 , 383975.00 ,Interni,10/05/2022,24/05/2022,01/07/2022,04/08/2022,18/08/2022, 264942.75 ,14/09/2022,,,, 132471.38 ,,,,,,, 44157.13 ,,
283,Kašperské hory,IK,Ukonceno,6.44, 313440.00 , 391718.00 ,Interni,10/05/2022,24/05/2022,28/06/2022,13/06/2022,20/07/2022, 270285.42 ,21/07/2022,,,, 135142.71 ,,,,,,, 45047.57 ,,
284,Stachy,,Nerealizovano,9.66kWp, 411950.00 , 503515.00 ,Interni,10/05/2022,24/05/2022,,,, 347425.35 ,,,,, 173712.68 ,,,,,,, 57904.23 ,,
285,Ratíškovice,IK,Pripojeni,5.52, 292350.00 , 367260.00 ,Interni,10/05/2022,13/05/2022,31/05/2022,27/05/2022,30/06/2022, 256887.00 ,07/07/2022,,,16/09/2022, 122647.00 ,21/09/2022,04/10/2022,05/10/2022,,,, 42815.00 ,,
286,Ratíškovice,,Pripojeni,5.52, 261350.00 , 330060.00 ,Interni,10/05/2022,13/05/2022,30/05/2022,27/05/2022,30/06/2022, 256887.00 ,30/06/2022,,,10/10/2022, 92012.00 ,17/10/2022,27/10/2022,07/11/2022,,,, 30670.00 ,,
287,Drahelčice,,Nerealizovano,8.74, 500144.00 , 439621.00 ,Interni,10/05/2022,13/05/2022,,,, 303338.49 ,,,,, 151669.25 ,,,,,,, 50556.42 ,,
288,Drahelčice,,Nerealizovano,4.6kWp, 289550.00 , 363550.00 ,Interni,10/05/2022,23/05/2022,,,, 250849.50 ,,,,, 125424.75 ,,,,,,, 41808.25 ,,
289,Nenkovice ,IK,Odlozeno,8.28, 337400.00 , 424230.00 ,Interni,11/05/2022,18/05/2022,,,, 292718.70 ,,,,, 146359.35 ,,,,,,, 48786.45 ,,
290,,,Nerealizovano,,,,Externi,10/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
291,Lanžhot,,Nerealizovano,,,,Externi,15/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
292,Čakovičky,,Nerealizovano,7.36,338200.00,426870.00,Externi,13/05/2022,25/05/2022,,,, 294540.30 ,,,,, 147270.15 ,,,,,,, 49090.05 ,,
293,Ratíškovice,,Nerealizovano,,,,Externi,11/05/2022,02/06/2022,,,, - ,,,,, - ,,,,,,, - ,,
294,Planá,,Nerealizovano,8.28,350900.00,443730.00,Externi,16/05/2022,24/05/2022,,,, 306173.70 ,,,,, 153086.85 ,,,,,,, 51028.95 ,,
295,Rakvice,,Nerealizovano,,,,Externi,16/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
296,Ratíškovice,,Nepotvrzena_realizace,,,,Interni,17/05/2022,,"23/08/2022, 22/11/2022",,, - ,,,,, - ,,,,,,, - ,,
297,Skalice n. Svitavou,IK,Ukonceno,5.06kWp, 296029.00 ,373239.00,Interni,17/05/2022,25/05/2022,13/06/2022,14/06/2022,13/07/2022, 257534.91 ,25/07/2022,,,, 128767.46 ,,,,,,, 42922.49 ,,
298,Drnovice,IK,R ,7.36, 329752.00 , 415974.00 ,Interni,17/05/2022,25/05/2022,15/06/2022,15/06/2022,13/07/2022, 287022.06 ,01/08/2022,,,, 143511.03 ,,,,,,, 47837.01 ,,
299,,,Nerealizovano,,,,Interni,17/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
300,Kyjov-Nětčice,,Nerealizovano,,,,Interni,17/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
301,Vlkoš,,Nepotvrzena_realizace,6.66,,,Interni,17/05/2022,,13/07/2022,,, - ,,,,, - ,,,,,,, - ,,
302,Čejkovice,"JH,IK",Nerealizovano,,,,Externi,18/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
303,Polešovice-TČ,,Odlozeno,9.66kWp, 402350.00 , 493195.00 ,Interni,19/05/2022,26/05/2022,,,, 340304.55 ,,,,, 170152.28 ,,,,,,, 56717.43 ,,
304,Kyjov - Nětčice,,Nerealizovano,,,,Interni,19/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
305,Adamov,N,Nerealizovano,,,,Externi,22/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
306,Pohořelice,,Nerealizovano,,,,Externi,22/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
307,Hýsly,,Pripojeni,7.36,327700.00,411870.00,Interni,22/05/2022,23/05/2022,22/07/2022,14/06/2022,02/08/2022, 284190.30 ,09/08/2022,,,17/10/2022, 142095.15 ,24/10/2022,24/10/2022,není,není,,07/11/2022, 47366.00 ,,
308,Červený Kostelec,,Odlozeno,,,,Externi,22/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
309,Olbramice,DŠ,Odlozeno,,,,Interni,23/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
310,Karlovice,,Nerealizovano,8.19,463036.00,551799.00,Interni,24/05/2022,03/06/2022,,,, 380741.31 ,,,,, 190370.66 ,,,,,,, 63456.89 ,,
311,Terezín,,Nerealizovano,9.5kWp, 359594.00 , 442192.00 ,Interni,24/05/2022,24/05/2022,,,, 305112.48 ,,,,, 152556.24 ,,,,,,, 50852.08 ,,
312,"Znojmo, Palliardiho",Growatt,Pripojeni,4.74,358291.00,429825.00,Interni,24/05/2022,25/05/2022,25/07/2022,26/08/2022,09/09/2022, 305549.00 ,12/09/2022,,,14/10/2022, 141562.00 ,17/10/2022,25/10/2022,04/11/2022,,,, 47187.00 ,,
313,Vnorovy,IK,Odlozeno,,,,Externi,18/05/2022,,,,,,,,,, - ,,,,,,, - ,,
314,Hřivínův Újezd,,Nerealizovano,,,,Externi,24/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
315,Čejč,IK,Nerealizovano,9.66kWp, 402350.00 , 493195.00 ,Interni,23/05/2022,25/05/2022,,,, 340304.55 ,,,,, 170152.28 ,,,,,,, 56717.43 ,,
316,Zlín,,Nerealizovano,7.36, 329900.00 , 397410.00 ,Interni,26/05/2022,07/05/2022,,,, 274212.90 ,,,,, 137106.45 ,,,,,,, 45702.15 ,,
317,Píšť-Ostrava,LM,Odlozeno,,,,Externi,26/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
318,Vranovice,LM,Nerealizovano, ,,,Externi,26/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
319,Hlincová Hora,IK,Ukonceno,9.66, 452388.00 , 554767.00 ,Interni,26/05/2022,31/05/2022,01/07/2022,20/06/2022,30/06/2022, 382789.23 ,04/07/2022,,,, 191394.62 ,,,,,,, 63798.21 ,,
320,Jivno,IK,R ,9.66kWp, 431067.00 , 529153.00 ,Interni,26/05/2022,31/05/2022,28/06/2022,13/06/2022,30/06/2022, 365115.57 ,04/07/2022,,,, 182557.79 ,,,,,,, 60852.60 ,,
321,Blatno u Chomutova,N,Nerealizovano,8.28,342980.00,431850.00,Externi,27/05/2022,31/05/2022,,,, 297976.50 ,,,,, 148988.25 ,,,,,,, 49662.75 ,,
322,"Velešovice, okr. Vyškov","JH, DŠ",Nerealizovano,9.2kWp,,496730.00,Interni,30/05/2022,01/01/2020,04/08/2022,,, 342743.70 ,,,,, 171371.85 ,,,,,,, 57123.95 ,,
323,Klobouky u Brna ,,Nerealizovano,,,,Interni,30/05/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
324,"Hodonín,Rybáře",LM,Nerealizovano,4.6kWp,304120.00,377868.00,Externi,31/05/2022,12/08/2022,,,, 260728.92 ,,,,, 130364.46 ,,,,,,, 43454.82 ,,
325,Líbeznice,IK,Nerealizovano,4.14kWp, 293765.00 , 369076.00 ,Interni,31/05/2022,07/06/2022,,,, 254662.44 ,,,,, 127331.22 ,,,,,,, 42443.74 ,,
326,Řepčice-Velké Popovice,"ET 10, IK",Ukonceno,9.66kWp, 430235.00 , 527905.00 ,Interni,31/05/2022,07/06/2022,26/08/2022,,, 364254.45 ,,,,, 182127.23 ,,,,,,, 60709.08 ,,
327,Hodonín,"TČ,WB",Odlozeno,5.98,348372.00,432864.00,Interni,01/06/2022,07/09/2022,,,, 298676.16 ,,,,, 149338.08 ,,,,,,, 49779.36 ,,
328,Podivín,,Ukonceno,9.66,405058.00,486780.00,Interni,02/06/2022,03/06/2022,03/08/2022,13/09/2022,16/09/2022, 335878.20 ,21/09/2022,,,, 167939.10 ,,,,,,, 55979.70 ,,
329,Milotice,IK,Odeslana_CN,7.36, 356348.00 , 449865.00 ,Interni,02/06/2022,10/06/2022,,,, 310406.85 ,,,,, 155203.43 ,,,,,,, 51734.48 ,,
330,Cheb,LM,Nerealizovano,4.6kWp,213000.00,267420.00,Externi,25/05/2022,07/06/2022,,,, 184519.80 ,,,,, 92259.90 ,,,,,,, 30753.30 ,,
331,Hodonín,,Nerealizovano,,,,Externi,25/05/2022,,,,, - ,,,,, - ,,,,,,, - ,,
332,Kyjov,"ET 10, IK",Pripojeni,7.82, 250312.00 , 318037.00 ,Interni,31/05/2022,07/06/2022,18/08/2022,15/08/2022,22/09/2022, 219445.53 ,05/10/2022,,,16/11/2022, 109722.77 ,,,,,,, 36574.26 ,,
333,Velká nad Veličkou,TČ,Nerealizovano,8.28, 363913.87 , 456087.00 ,Externi,07/06/2022,10/06/2022,,,, 314700.03 ,,,,, 157350.02 ,,,,,,, 52450.01 ,,
334,"Bratislava,SK","SK,IK",Slovensko,8.28, 259936.00 , 337676.00 ,Interni,09/06/2022,14/06/2022,,,, 232996.44 ,,,,, 116498.22 ,,,,,,, 38832.74 ,,
335,Bzová,,Nerealizovano,,,,Interni,09/06/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
336,Polešovice,IK,Nerealizovano,7.36, 379259.00 , 478954.00 ,Interni,09/06/2022,01/01/2020,,,, 330478.26 ,,,,, 165239.13 ,,,,,,, 55079.71 ,,
337,"Bratislava,SK",SK,Nerealizovano,,,,Interni,13/06/2022,,,,, - ,,,,, - ,,,,,,, - ,,
338,Násedlovice,LM,Odlozeno,7.36,351900.00, 438377.00 ,Interni,13/06/2022,16/06/2022,,,, 302480.13 ,,,,, 151240.07 ,,,,,,, 50413.36 ,,
339,Podivín,,Nerealizovano,9.66, 366179.00 , 460771.00 ,Externi,14/06/2022,15/06/2022,,,, 317931.99 ,,,,, 158966.00 ,,,,,,, 52988.67 ,,
340,"Bratislava,SK","IK,SK",Slovensko,5.52, 207244.00 , 268737.00 ,Interni,14/06/2022,14/06/2022,02/08/2022,,, 185428.53 ,,,,, 92714.27 ,,,,,,, 30904.76 ,,
341,"Láb,SK","SK,IK",Odlozeno,9.66, 10 050 EUR , 13 013 EUR ,Interni,14/06/2022,28/06/2022,,,,#VALUE!,,,,,#VALUE!,,,,,,,#VALUE!,,
342,"Podhajská,SK","IK,SK",Slovensko,9.66kWp, 10635 EUR , 13556EUR ,Interni,14/06/2022,01/07/2022,,,,#VALUE!,,,,,#VALUE!,,,,,,,#VALUE!,,
343,Prachov u Jičína,IK,Odeslana_CN,7.29, 391405.00 , 480176.00 ,Interni,15/06/2022,24/11/2022,,,, 331321.44 ,,,,, 165660.72 ,,,,,,, 55220.24 ,,
344,Terezín,,Nerealizovano,5.52, 321547.00 , 405168.00 ,Interni,15/06/2022,15/06/2022,,,, 279565.92 ,,,,, 139782.96 ,,,,,,, 46594.32 ,,
345,Němčice nad Hanou,,Ukonceno,6.44, 321054.00 , 405149.00 ,Interni,13/06/2022,16/06/2022,13/07/2022,03/08/2022,11/08/2022, 279552.81 ,12/08/2022,,,, 139776.41 ,,,,,,, 46592.14 ,,
346,Břeclav,,Nerealizovano,5.52, 345345.00 , 436920.00 ,Externi,15/06/2022,17/06/2022,,,, 301474.80 ,,,,, 150737.40 ,,,,,,, 50245.80 ,,
347,Vysoký Újezd,,Ukonceno,9.66,402702.00,501094.00,Interni,16/06/2022,20/06/2022,21/10/2022,,, 345754.86 ,,,,, 172877.43 ,,,,,,, 57625.81 ,,
348,Hostěnice,,R ,5.52, 283284.00 , 348088.00 ,Interni,17/06/2022,17/06/2022,07/07/2022,27/07/2022,02/08/2022, 240180.72 ,03/08/2022,,,, 120090.36 ,,,,,,, 40030.12 ,,
349,Březová,,Nerealizovano,,,,Interni,17/06/2022,23/06/2022,,,, - ,,,,, - ,,,,,,, - ,,
350,Hrušky,LM,Nerealizovano,8.28,,494000.00,Externi,20/06/2022,15/07/2022,,,, 340860.00 ,,,,, 170430.00 ,,,,,,, 56810.00 ,,
351,Valtice,LM,Nerealizovano,9.66,384860.00,485825.00,Externi,20/06/2022,23/06/2022,,,, 335219.25 ,,,,, 167609.63 ,,,,,,, 55869.88 ,,
352,Blansko,LM,Nerealizovano,,,,Externi,21/06/2022,,,,, - ,,,,, - ,,,,,,, - ,,
353,Šardice,LM,Nerealizovano,9.66,420333.00,522172.00,Externi,21/06/2022,28/06/2022,,,, 360298.68 ,,,,, 180149.34 ,,,,,,, 60049.78 ,,
354,Rohatec,,Nerealizovano,7.36,343085.00,431610.00,Externi,15/06/2022,23/06/2022,,,, 297810.90 ,,,,, 148905.45 ,,,,,,, 49635.15 ,,
355,Rohatec,LM,Nerealizovano,8.28,369648.00,461570.00,Externi,03/06/2022,22/07/2022,,,, 318483.30 ,,,,, 159241.65 ,,,,,,, 53080.55 ,,
356,Rohatec,"TČ,LM",Nerealizovano,,,,Externi,03/06/2022,,,,, - ,,,,, - ,,,,,,, - ,,
357,"Hrubá Borša, SK","IK,SK",Slovensko,9.66, 10 080 EUR , 13 028 EUR ,Interni,21/06/2022,28/06/2022,26/07/2022,,,#VALUE!,,,,,#VALUE!,,,,,,,#VALUE!,,
358,,"SK,IK",Nerealizovano,6.44, 9024EUR , 11506EUR ,Interni,21/06/2022,07/07/2022,,,,#VALUE!,,,,,#VALUE!,,,,,,,#VALUE!,,
359,Rabštejn,ET 10,R ,7.36,376290.00,454444.00,Interni,14/06/2022,01/07/2022,13/09/2022,,12/09/2022, 313566.00 ,14/09/2022,,,, 156783.18 ,,,,,,, 52261.06 ,,
360,Polešovice,,Odlozeno,7.36, 335296.00 , 423025.00 ,Interni,22/06/2022,23/06/2022,,,, 291887.25 ,,,,, 145943.63 ,,,,,,, 48647.88 ,,
361,Nová Dedinka,SK,Nerealizovano,7.36, 893425 EUR , 11555 EUR ,Interni,22/06/2022,27/06/2022,,,,#VALUE!,,,,,#VALUE!,,,,,,,#VALUE!,,
362,Havřice,"TČ,WB, IK",Nerealizovano,5.52, 346558.00 , 432151.00 ,Interni,27/06/2022,29/06/2022,,,, 298184.19 ,,,,, 149092.10 ,,,,,,, 49697.37 ,,
363,Hodonín,"ET 8, IK",Ukonceno,6.44, 343591.00 , 428155.00 ,Interni,28/06/2022,29/06/2022,26/08/2022,,, 295426.95 ,,,,, 147713.48 ,,,,,,, 49237.83 ,,
364,Velké Pavlovice,,Nerealizovano,6.44,341836.00,426048.00,Externi,29/06/2022,29/06/2022,,,, 293973.12 ,,,,, 146986.56 ,,,,,,, 48995.52 ,,
365,Traplice,,Nerealizovano,5.52,317064.00,393652.00,Externi,29/06/2022,13/07/2022,,,, 271619.88 ,,,,, 135809.94 ,,,,,,, 45269.98 ,,
366,Zpytihněv,"PS, LM",Nerealizovano,5.52,333525.00,408224.00,Externi,30/06/2022,14/07/2022,,,, 281674.56 ,,,,, 140837.28 ,,,,,,, 46945.76 ,,
367,Náměšť na Hané,LM,Nerealizovano,8.28,355214.00,450237.00,Externi,30/06/2022,12/07/2022,,,, 310663.53 ,,,,, 155331.77 ,,,,,,, 51777.26 ,,
368,Znojmo,DŠ,Ukonceno,,5500.00,6456.00,Interni,01/07/2022,01/07/2022,,,18/07/20222, 4454.64 ,částka za revizi,zaplaceno,,, 2227.32 ,,31/07/2022,,,,, 742.44 ,,
369,Jámy,DŠ,Nerealizovano,7.36,352944.00,439548.00,Externi,08/07/2022,14/07/2022,,,, 303288.12 ,,,,, 151644.06 ,,,,,,, 50548.02 ,,
370,Petrov,"ET 10, IK",Ukonceno,9.66, 419179.00 , 520521.00 ,Interni,08/07/2022,12/07/2022,,,, 359159.49 ,,,,, 179579.75 ,,,,,,, 59859.92 ,,
371,Kyjov,"ET 10, IK",Odlozeno,7.36, 356584.00 , 444833.00 ,Interni,08/07/2022,12/07/2022,27/07/2022,,, 306934.77 ,,,,, 153467.39 ,,,,,,, 51155.80 ,,
372,Ratíškovice,ET 10,Ukonceno,5.52,314438.00,390088.00,Interni,11/07/2022,29/07/2022,26/08/2022 a 22/11/2022,26/08/2022,, 269160.72 ,,,,, 134580.36 ,,,,,,, 44860.12 ,,
373,Louka,"JH, DŠ",Nerealizovano,,,,Interni,11/07/2022,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
374,Ratíškovice,DŠ,Nerealizovano,6.44,333949.00,415175.00,Interni,11/07/2022,28/07/2022,08/08/2022,,, 286470.75 ,,,,, 143235.38 ,,,,,,, 47745.13 ,,
375,Ratíškovice,ET 8,Ukonceno,6.44,333949.00,415175.00,Interni,11/07/2022,28/07/2022,05/08/2022 a 04/11/2022,,, 286470.75 ,,,,, 143235.38 ,,,,,,, 47745.13 ,,
376,Dubňany,DŠ,Nerealizovano,,,,Externi,11/07/2022,,,,, - ,,,,, - ,,,,,,, - ,,
377,Žerotice,LM,Nerealizovano,3.68,215340.00,307804.00,Externi,13/07/2022,26/07/2022,,,, 212384.76 ,,,,, 106192.38 ,,,,,,, 35397.46 ,,
378,Veselí ,,Nerealizovano,,,,Interni,,01/01/2020,,,, - ,,,,, - ,,,,,,, - ,,
379,Lednice,"TČ, ET 10",R ,7.36,373483.00,465231.00,Interni,08/07/2022,22/07/2022,27/07/2022,01/09/2022,06/09/2022, 321009.00 ,07/09/2022,,,, 160504.00 ,,,,,,, 53501.57 ,,
380,Předboj,,Odlozeno,,,,Interni,15/07/2022,,,,, - ,,,,, - ,,,,,,, - ,,
381,Mikulčice,IK,Odlozeno,4.14kWp, 219833.00 , 275860.00 ,Externi,11/07/2022,21/07/2022,,,, 190343.40 ,,,,, 95171.70 ,,,,,,, 31723.90 ,,
382,Brno ,"WB, IK",Odlozeno,9.66, 439435.00 , 553082.00 ,Externi,13/07/2022,19/07/2022,,,, 381626.58 ,,,,, 190813.29 ,,,,,,, 63604.43 ,,
383,Drslavice,ET 10,Ukonceno,7.36, 345573.00 , 429990.00 ,Interni,18/07/2022,01/01/2020,03/08/2022,,27/09/2022, 296693.10 ,29/09/2022,,,, 148346.55 ,,,,,,, 49448.85 ,,
384,Uherský Brod,IK,Nerealizovano,9.6kWp, 448345.00 , 559808.00 ,Interni,18/07/2022,01/01/2020,,,, 386267.52 ,,,,, 193133.76 ,,,,,,, 64377.92 ,,
385,Nenkovice ,LM,Nerealizovano,8.28,369648.00,461570.00,Interni,18/07/2022,21/07/2022,,,, 318483.30 ,,,,, 159241.65 ,,,,,,, 53080.55 ,,
386,Hodonín,TČ,Odlozeno,,,,Interni,20/07/2022,16/08/2022,,,, - ,,,,, - ,,,,,,, - ,,
387,Kněždub,,Odlozeno,8.28, 370945.00 , 463321.00 ,Interni,20/07/2022,25/07/2022,,,, 319691.49 ,,,,, 159845.75 ,,,,,,, 53281.92 ,,
388,"Bílá, Beskydy","TČ,WB",Odeslana_CN,9.66,,,Interni,20/07/2022,27/07/2022,,,, - ,,,,, - ,,,,,,, - ,,
389,Měnín,,Odlozeno,5.52,317294.00,393676.00,Externi,15/07/2022,16/08/2022,,,, 271636.44 ,,,,, 135818.22 ,,,,,,, 45272.74 ,,
390,Měnín,,Odlozeno,7.36,348014.00,432864.00,Externi,15/07/2022,16/08/2022,,,, 298676.16 ,,,,, 149338.08 ,,,,,,, 49779.36 ,,
391,SK,"IK,SK",Slovensko,,,,Interni,,,,,, - ,,,,, - ,,,,,,, - ,,
392,Hodonín,,Odeslana_CN,9.2,383859.00,467895.00,Externi,26/07/2022,04/10/2022,,,, 322847.55 ,,,,, 161423.78 ,,,,,,, 53807.93 ,,
393,Omice,LM,Nerealizovano,,,,Externi,26/07/2022,,,,, - ,,,,, - ,,,,,,, - ,,
394,Opatovice,,Odlozeno,dvě CN, dvě CN , dvě CN ,Externi,27/07/2022,29/07/2022,,,,#VALUE!,,,,,#VALUE!,,,,,,,#VALUE!,,
395,Praha 6,LM,Nerealizovano,,,,Externi,27/07/2022,,,,, - ,,,,, - ,,,,,,, - ,,
396,Ludgeřovice,ET10,Ukonceno,9.66,439643.00,544928.00,Interni,02/08/2022,13/09/2022,19/10/2022,21/09/2022,21/11/2022, 376000.32 ,,,,, 188000.16 ,,,,,,, 62666.72 ,,
397,Radostice,LM,Nerealizovano,7.36,340479.00,424016.00,Externi,02/08/2022,03/08/2022,,,, 292571.04 ,,,,, 146285.52 ,,,,,,, 48761.84 ,,
